OBJECTID,ACCIDENT_NO,ACCIDENT_STATUS,ACCIDENT_DATE,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS_ALL,RMA,RMA_ALL,STAT_DIV_NAME,Year,ALCOHOL_RELATED
3475713,T20190004385,Finished,7/3/2019,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,No,144.808,-37.81026,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,3,1,0,0,1,2,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,M,Freeway,Freeway,Metro,2019,0
3475714,T20190004386,Finished,7/3/2019,No,Collision with vehicle,Thursday,RIGHT TURN SIDESWIPE,No,Day,Yes,T intersection,Other injury accident,80 km/hr,No,145.30231,-38.13069,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,3,2,0,0,2,1,0,3,0,1,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3475715,T20190003671,Finished,25/2/2019,No,Collision with vehicle,Monday,U TURN,No,Day,Yes,Not at intersection,Other injury accident,80 km/hr,No,146.01456,-36.54133,Non-Intersection,BENALLA,NORTH EASTERN REGION,2,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,TOWNS,TOWNS,BENALLA,NORTH EASTERN REGION,C,Arterial Other,Arterial Other,Country,2019,0
3475716,T20190003672,Finished,25/2/2019,No,Struck Pedestrian,Monday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,145.14764,-38.17466,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,FRANKSTON,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3475717,T20190003674,Finished,25/2/2019,No,Collision with vehicle,Monday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,No,145.99189,-38.38919,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,4,2,0,0,2,2,1,3,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTH GIPPSLAND,"EASTERN REGION,EASTERN REGION",,Local Road,Local Road,Country,2019,0
3475718,T20190003676,Finished,25/2/2019,No,Collision with vehicle,Monday,LEFT FAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,80 km/hr,No,145.1042,-37.02978,Non-Intersection,MITCHELL,NORTHERN REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MITCHELL,NORTHERN REGION,,Local Road,Local Road,Country,2019,0
3475719,T20190003680,Finished,24/2/2019,Yes,No collision and no object struck,Sunday,OFF CARRIAGEWAY ON LEFT BEND,No,Day,No,Not at intersection,Serious injury accident,100 km/hr,Yes,143.39022,-36.27512,Non-Intersection,BULOKE,NORTHERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,BULOKE,NORTHERN REGION,A,Arterial Highway,Arterial Highway,Country,2019,0
3475720,T20190003682,Finished,25/2/2019,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,144.95931,-37.78548,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,4,3,0,0,3,1,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,Arterial Other,Arterial Other,Metro,2019,0
3475721,T20190003685,Finished,25/2/2019,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,Yes,143.77408,-37.77399,Non-Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,GOLDEN PLAINS,SOUTH WESTERN REGION,C,Arterial Other,Arterial Other,Country,2019,0
3475722,T20190003688,Finished,25/2/2019,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,50 km/hr,No,145.27964,-38.09766,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,5,1,0,0,1,4,4,1,0,1,4,0,0,0,0,0,0,0,0,1,0,4,0,4,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3475723,T20190003695,Finished,25/2/2019,No,Collision with vehicle,Monday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,No,145.23711,-38.22384,Non-Intersection,MORNINGTON,METROPOLITAN SOUTH EAST REGION,4,2,1,1,0,2,3,1,0,0,3,0,0,1,0,0,0,0,0,1,0,4,0,3,1,0,RURAL_VICTORIA,RURAL_VICTORIA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,,Local Road,Local Road,Metro,2019,0
3475724,T20190003697,Finished,25/2/2019,Yes,Fall from or in moving vehicle,Sunday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,No,143.79713,-37.52555,Non-Intersection,BALLARAT,WESTERN REGION,2,1,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BALLARAT,WESTERN REGION,,Local Road,Local Road,Country,2019,0
3475725,T20190003700,Finished,25/2/2019,Yes,Collision with a fixed object,Monday,OFF END OF ROAD/T-INTERSECTION.,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,50 km/hr,No,144.57457,-37.69056,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,3,1,0,1,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,SMALL_CITIES,SMALL_CITIES,MELTON,METROPOLITAN NORTH WEST REGION,,Local Road,Local Road,Metro,2019,0
3475726,T20190003703,Finished,25/2/2019,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Multiple intersection,Other injury accident,60 km/hr,No,145.00243,-37.68627,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,4,1,0,0,1,3,2,2,0,1,3,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,WHITTLESEA,METROPOLITAN NORTH WEST REGION,M,Freeway,"Freeway,Arterial Other",Metro,2019,0
3475727,T20190003709,Finished,26/2/2019,Yes,Collision with vehicle,Tuesday,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),Yes,Dark Street lights on,Yes,Not at intersection,Serious injury accident,60 km/hr,No,145.10902,-38.03945,Non-Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,Arterial Highway,Arterial Highway,Metro,2019,0
3475728,T20190004387,Finished,2/3/2019,Yes,Collision with vehicle,Friday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,145.1201,-38.06712,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,3,2,0,0,2,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,Arterial Highway,"Arterial Highway,Local Road",Metro,2019,0
3475730,T20190004398,Finished,7/3/2019,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,Yes,Not at intersection,Serious injury accident,Other speed limit,No,145.02151,-37.65423,Off Road,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITTLESEA,METROPOLITAN NORTH WEST REGION,,,,Metro,2019,0
3475731,T20190004401,Finished,7/3/2019,No,Collision with vehicle,Thursday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,144.94199,-37.8001,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,Local Road,Local Road,Metro,2019,0
3475732,T20190004404,Finished,7/3/2019,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights unknown,No,Cross intersection,Other injury accident,50 km/hr,No,145.35337,-37.75756,Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,3,1,0,0,1,2,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,,Arterial Highway,"Arterial Highway,Local Road",Metro,2019,0
3475733,T20190004407,Finished,7/3/2019,No,Collision with vehicle,Thursday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,No,144.37442,-38.08609,Intersection,GEELONG,SOUTH WESTERN REGION,2,2,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,Arterial Other,"Arterial Other,Local Road",Country,2019,0
3475734,T20190004409,Finished,6/3/2019,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,145.12199,-38.07408,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,Arterial Highway,"Arterial Highway,Local Road",Metro,2019,0
3475735,T20190004413,Finished,9/2/2019,No,Fall from or in moving vehicle,Saturday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,No,Day,No,Cross intersection,Serious injury accident,80 km/hr,No,145.27062,-37.97637,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,Arterial Other,"Arterial Other,Local Road",Metro,2019,0
